iso,zone,year,dc_load_mw,forecast_vintage,data_source
PJM,ATSI,2034,2020,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2035,2169,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2036,2211,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2037,2210,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2038,2210,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2039,2209,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2040,2210,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2041,2209,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2042,2209,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2043,2209,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2044,2209,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2045,2210,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2046,2211,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2025,12,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2026,20,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2027,27,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2028,36,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2029,80,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2030,124,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2031,168,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2032,208,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2033,245,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2034,282,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2035,318,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2036,354,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2037,355,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2038,354,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2039,354,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2040,354,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2041,354,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2042,354,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2043,354,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2044,354,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2045,354,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2026,18,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2027,25,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2028,43,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2029,110,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2030,176,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2031,243,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2032,307,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2033,355,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2034,355,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2035,355,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2036,355,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2037,354,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2038,354,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2039,354,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2040,354,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2041,354,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2042,354,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2043,354,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2044,354,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2045,354,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2046,355,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2025,546,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2026,906,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2027,1226,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2028,1651,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2029,2135,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2030,2664,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2031,3194,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2032,3708,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2033,4182,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2034,4568,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2035,4822,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2036,4940,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2037,4989,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2038,4991,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2039,4991,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2040,4992,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2041,4993,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2042,4992,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2043,4991,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2044,4990,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2045,4991,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2026,885,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2027,1275,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2028,2058,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2029,3504,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2030,5176,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2031,6850,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2032,8496,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2033,9892,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2034,10537,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2035,10789,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2036,10846,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2037,10854,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2038,10860,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2039,10866,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2040,10866,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2041,10865,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2042,10866,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2043,10865,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2044,10868,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2045,10870,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2046,10870,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2025,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2026,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2027,297,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2028,335,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2029,335,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2030,335,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2031,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2032,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2033,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2034,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2035,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2036,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2037,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2038,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2039,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2040,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2041,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2042,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2043,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2044,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2045,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2026,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2027,144,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2028,277,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2029,411,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2030,954,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2031,1392,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2032,1821,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2033,2144,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2034,2242,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2035,2242,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2036,2241,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2037,2241,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2038,2241,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2039,2241,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2040,2241,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2041,2241,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2042,2241,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2043,2241,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2044,2242,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2045,2243,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2046,2244,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2025,0,2025_forecast,PJM_Load_Forecast_Table_B9b
